course_code,title,credits,description,source
CSCI 6010,Introduction to Computer Science Fundamentals,3 Credits,"Review of programming in a high-level language using Java or C++ Introduction to objects and object-oriented programming: static and dynamic objects, inheritance, dynamic method invocation. Data structures: 2D-arrays, linked-lists, stacks, queues, trees, hashing. Discrete structures: sets, graphs, permutations and combinations. Restricted to students whose letter of admission stated that the course is required. (Fall and spring, Every year)",bulletin
CSCI 6011,Introduction to Computer Systems and Algorithm Analysis,3 Credits,"Basics of computer systems and system usage: command line, containers, version control, and VMs. Basic data structures, and tools for the analysis of algorithms. Restricted to students whose letter of admission stated that the course is required. (Fall, Every year)",bulletin
CSCI 6012,Cybersecurity and Privacy,3 Credits,"Overview of cybersecurity and privacy, including cryptography, authentication, malware, viruses, network security, anonymity, privacy and online privacy, risk management; common cyberattacks and techniques for detection and defense; policy and legal perspectives for managing cybersecurity missions supporting private sector and government; cyber technologies as applied to the stability of global information and communications infrastructure; government cybersecurity policies. (Fall, spring, And summer)",bulletin
CSCI 6013,Security in Mobile Computing,3 Credits,"Relationship between security strategic plan and business strategic plan; mobile device solutions (MDS) to access enterprise corporate data; bring your own device (BYOD) paradigm; mobile device management (MDM) best practices, policies, network controls to identify countermeasures, and risk mitigation strategies against common threats. Overview of mobile security solutions for classified processing and communications. Prerequisites:CSCI 6012. (Fall, spring, And summer)",bulletin
CSCI 6015,Cyber Forensics,3 Credits,"Acquiring, preserving and analyzing digitally stored information while ensuring that this information is admissible as evidence in a court of law. Principles and techniques for cyber forensics investigations using industry-standard forensic process. Restricted to SEAS online students.",bulletin
CSCI 6016,Applied Network Defense,3 Credits,"Computer security: protection aspects of the Internet. Cryptographic tools to provide security, such as shared key encryption (DES, 3DES, RC and more), public key encryption, key exchange, and digital signature. Internet protocols and applications. Restricted to SEAS online students.",bulletin
CSCI 6018,Cloud Application Architecture,3 Credits,"Cloud application design guidelines and software patterns. Survey of cloud services for scalable secure cloud applications. Trade-offs in cloud application design, container vs virtual machine deployments, and monolithic vs microservice. Restricted to SEAS online students.",bulletin
CSCI 6114,Introduction to Computer Systems and Systems Programming,3 Credits,"Introduction to basic concepts underlying all computer systems; processor operation, hierarchical memory systems, elementary logic circuits, and systems software such as compilers, linkers, and operating systems from the programmer’s perspective. Software development with the C programming language. Students cannot receive credit for this course andCSCI 6011. Restricted to students in select programs; departmental permission is required. Prerequisites:CSCI 2113orCSCI 6003. (Fall, spring, and summer, Every year)",bulletin
CSCI 6115,Application Development I,3 Credits,"Client-server programming, web development, front end design, back-end server development, introduction to databases. Front and back-end languages, server administration and tools. Students cannot get credit for this course andCSCI 2441,CSCI 2441W,CSCI 2541, orCSCI 2541W. Restricted to students in select programs; departmental permission is required. Prerequisites:CSCI 2113orCSCI 6003. (Fall, spring, and summer, Every year)",bulletin
CSCI 6116,Advanced Application Development,3 Credits,"Design of large software systems and installable applications, development frameworks, integration of components and services, cloud and web programming, and mobile device development; software specification and testing. Prerequisites:CSCI 6115,CSCI 6431andCSCI 6441. (Fall, spring, and summer, Every year)",bulletin
CSCI 6201,Software Fundamentals,3 Credits,"Review of programming in a high-level object oriented language with core data structures, objects. Students with equivalent coursework may test out. Restricted to students in the master’s programs in computer science or cybersecurity with permission to register.",bulletin
CSCI 6202,Computer Systems Fundamentals,3 Credits,"Computer organization and computer systems with data representation, memory, output and input, CPU. Restricted to Master’s students in Computer Science or Cybersecurity with permission to register. Students with equivalent coursework may test out. Restricted to Master’s students in Computer Science or Cybersecurity with permission to register. (Spring and fall, Every year)",bulletin
CSCI 6203,Mathematical Fundamentals of Computer Science,3 Credits,"Discrete structures in computer science. Mathematical structures for machine learning and data science. Students with equivalent coursework may test out. Restricted to Master’s students in CS or Cybersecurity with permission to register. (Spring and fall, Every year)",bulletin
CSCI 6212,Design and Analysis of Algorithms,3 Credits,"Design and analysis of algorithms; Turing machines; NP-complete theory; algorithmic techniques: divide-and-conquer, greedy, dynamic programming, graph traversal, backtracking, and branch-and-bound; applications include sorting and searching, graph algorithms, and optimization. Students are expected to know data structures and possess general programming skills in one or more procedural/OOP language such as C/C++/Java, and to have a good mathematical background such as discrete math and some calculus, prior to registration. (Fall, spring, and summer, Every year)",bulletin
CSCI 6221,Advanced Software Paradigms,3 Credits,"Object-oriented, procedural, functional, and concurrent software design paradigms; design patterns; software life cycle concepts; tadeoffs between compiled and interpreted languages; examples from Java, C, C++ and Perl. Restricted to graduate students. (Fall, spring, and summer, Every year)",bulletin
CSCI 6223,Principles of Programming Languages,3 Credits,"Fundamental concepts underlying design of programming languages; detailed study of functional and object-oriented computational models; types, evaluation, abstraction, control flow, modules, mutation, laziness, polymorphism, subtyping, inheritance. Students cannot receive credit for bothCSCI 6223taken while a graduate andCSCI 4223taken while an undergraduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4223andCSCI 6223. (Spring, Odd years)",bulletin
CSCI 6231,Software Engineering,3 Credits,"The life-cycle model. Requirements and specifications. Design models, structured and object-oriented design. Program development, PDL’s tools, configuration control. Program, unit, and integration testing. Program verification. Other development models. Development metrics. Computer-aided software engineering (CASE). Prerequisites:CSCI 6221andCSCI 6212. (Fall and spring, Every year)",bulletin
CSCI 6232,Software Engineering Development,3 Credits,"Formal methods in software engineering. First-order logic, basic specification elements, rigorous proofs, formal development process, concurrency. Prerequisites:CSCI 6461andCSCI 6212. (Fall and spring, Every year)",bulletin
CSCI 6233,Software Testing and Quality,3 Credits,"Flow graphs and path testing, transaction flow testing, data flow testing, software metrics, system testing, test planning and documentation, reliability, statistical testing. Prerequisite:CSCI 6231. (Fall and spring, Every year)",bulletin
CSCI 6234,Object-Oriented Design,3 Credits,"Object-oriented systems, software reusability, software modularity, top–down and bottom–up approaches, object classification, genericity, metaprogramming, concurrent object-oriented programming languages. Prerequisite:CSCI 6221.",bulletin
CSCI 6235,Component-Based Enterprise Software Development,3 Credits,"Component-based software development for enterprise applications. Component models, multi-tier architecture. Specific case studies may include topics such as Enterprise Java Beans, DCOM, and COBRA. Prerequisite:CSCI 6221.",bulletin
CSCI 6311,Theory of Computation,3 Credits,"Theoretical foundations of computer science. Formal languages and automata; regular expressions, context-free languages, parsing; Turing machines and complexity; partial recursive functions; undecidability; program correctness; fixed-point theory; formal specifications of software. Prerequisite:CSCI 6212.",bulletin
CSCI 6312,Graph Theory and Applications,3 Credits,"Undirected and directed graphs. Connectivity, partitions, cycles and matchings. Edge and vertex coloring, chromatic polynomials, and the four-coloring problem. Planar graphs and Kuratowski’s theorem. Properties of random graphs. Applications to a variety of problems. Prerequisite:CSCI 6212. (Fall and spring, Every year)",bulletin
CSCI 6318,Complex Systems,3 Credits,"The edge-of-chaos phenomenon, phase transitions, power laws, small-world networks, Boolean networks, cellular automata, and complex dynamics. Applications to networks and biological systems. Prerequisite:CSCI 6212.",bulletin
CSCI 6331,Cryptography,3 Credits,"Introduction to modern cryptography with a focus on formal definitions and provably-secure constructions. Topics include secret-key and public-key encryption, message-authentication codes, digital signatures, and advanced topics. Prerequisites:CSCI 6212. Credit cannot be earned for this course andCSCI 4331. (Fall, Every year)",bulletin
CSCI 6341,Continuous Algorithms,3 Credits,"Structures in continuous mathematics from a computational viewpoint; continuous system simulation, computational modeling, probability, statistical techniques, next-event simulation, algorithms for continuous optimization, machine learning, neural networks, statistical language processing, robot control algorithms. Students cannot receive credit for bothCSCI 4341taken while an undergraduate andCSCI 6341taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4341andCSCI 6341. (Spring, Every year)",bulletin
CSCI 6342,Computational Linear Algebra and Applications,3 Credits,"Linear algebra applied to computational problems in computer science and engineering; points, vectors, matrices, and their programming abstractions; 3D transformations, pose and viewpoint estimation; linear equations; algorithms for matrix decompositions, dimension reduction, computation with large matrices, under- and over-determined systems; applications to big data, computer vision, text processing. Students cannot receive credit for bothCSCI 4342taken while an undergraduate andCSCI 6342taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 4342andCSCI 6342. (Spring, Every year)",bulletin
CSCI 6345,Introduction to Quantum Computing,3 Credits,"Foundations of quantum computing, Dirac notation, complex vector spaces, state representation, operators. Single and multiple qubits, entanglement, measurement. Standard circuit model. Quantum algorithms and protocols, EPR paradox, Bell’s theorem. Recommended background: Linear algebra. Credit cannot be earned for this course andCSCI 4345. (Spring, Every year)",bulletin
CSCI 6351,Data Compression,3 Credits,"Background on signals, information theory, transforms, human vision, and metrics. Lossless and lossy compression techniques. Video compression. Compression standards. Progressive transmission. Prerequisite:CSCI 6212.",bulletin
CSCI 6362,Probability for Computer Science,3 Credits,"Concepts of probability and statistics used in computer science; random variables; conditional probability, independence, correlation; law of large numbers, central limit theorem; applications to computer science, including entropy, information theory, data compression, coding, inference, Markov chains, randomized algorithms. Students cannot receive credit for bothCSCI 3362taken while an undergraduate andCSCI 6362taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 3362andCSCI 6362. (Spring, Every year)",bulletin
CSCI 6364,Machine Learning,3 Credits,"Supervised and unsupervised learning, regression, classification, linear models, perceptrons, ensemble methods, non-parametrics, online learning, active learning, feature selection, parameter tuning, and model evaluation. Prerequisites:CSCI 6212. Recommended background: Algorithms, Probability and Statistics and Linear Algebra. Credit cannot be earned for this course andCSCI 4364. (Spring and fall, Every year)",bulletin
CSCI 6365,Advanced Machine Learning,3 Credits,"Theory and algorithms for machine learning research; in-depth focus on advanced machine learning topics such as clustering, learning from data streams, and climate informatics. Prerequisite:CSCI 6364. (Spring, Every year)",bulletin
CSCI 6366,Neural Networks and Deep Learning,3 Credits,"Introduction to deep learning with neural networks: theory and practice. Creating from scratch, simplification with software packages, regression and classification problems for both simple (numerical, etc.) and complex (images, etc.) datasets. Restricted to computer science majors. Prerequisites:CSCI 6212. Recommended background: Calculus, linear algebra, programming, and algorithms. Credit cannot be earned for this course andCSCI 4366. (Fall, Every year)",bulletin
CSCI 6411,Advanced Operating Systems,3 Credits,"The fundamentals of operating system design, interfaces, isolation, resource management, parallelism and security. Substantial programming experience is required. Can be taken by undergraduates who have completedCSCI 3411. Prerequisites:CSCI 3411, orCSCI 6202, orCSCI 6461.   (Every Year)",bulletin
CSCI 6412,OS Design and Implementation,3 Credits,"Builds onCSCI 6411to provide students with the knowledge to build parts of modern operating systems, which is studied and motivated from the viewpoint of practical design and implementation. Students learn how operating system’s components for resource management and abstraction are built from the ground up and integrated into working systems considering the challenges of reliability, multi-core, and security. The course has a significant implementation component; substantial low-level programming experience is required. Prerequisite:CSCI 6411. (Fall and spring, Every year)",bulletin
CSCI 6418,Unix Systems Administration,3 Credits,"System administration for the stand-alone system or small networks; installation of two or more UNIX variants (Linux, FreeBSD, Solaris) hardware platforms; configuration of mail, name services, and other network utilities; backup and recovery, security and ethics. Students cannot receive credit for both CSCI 4418 taken while an undergraduate andCSCI 6418taken while a graduate student. Students in the combined BS/MS program cannot receive credit for both CSCI 4418 andCSCI 6418. Prerequisites:CSCI 6114; orCSCI 6010andCSCI 6011. (Fall, spring, and summer, Every year)",bulletin
CSCI 6419,Advanced Systems Administration,3 Credits,"Administration of large systems, non-Unix platforms, web document systems, website administration, cloud and web services, user and IT personnel components, and economics of IT support. Prerequisite:CSCI 6418. (Fall, spring, and summer, Every year)",bulletin
CSCI 6421,Distributed and Cluster Computing,3 Credits,"Algorithmic and implementation challenges in building large scale distributed applications; distributed coordination, scheduling, consistency issues, and fault tolerance algorithms; fundamental distributed systems concepts applied to both high performance computing and cloud computing environments. Prerequisite:CSCI 6212. Recommended background: Substantial programming experience. (Fall, Every year)",bulletin
CSCI 6431,Computer Networks,3 Credits,"Fundamental concepts in the design and implementation of computer networks, the Internet, and protocols; transport, routing, physical layer, management and security; network programming interfaces. Credit cannot be earned for this course andCSCI 4431,CSCI 4431W. (Fall, Every year)",bulletin
CSCI 6433,Internet Protocols,3 Credits,"Understanding of the layered protocols for the Internet. Interconnection of networks. The IP protocol and routing algorithms, switches, bridges, and routers. The transmission control protocol (TCP). Addressing and names. Application-specific protocols, FTP, TELNET, SMTP, SNMP, HTTP. Domain name services. Prerequisites:CSCI 6221andCSCI 6431. (Fall and spring, Every year)",bulletin
CSCI 6434,Design of Internet Protocols,3 Credits,"Protocol specifications and formal description methods. Finite-state descriptions of Internet protocols. Specification and Description Language. Implementation of protocol specifications. Prerequisites:CSCI 6212andCSCI 6433. (Fall and spring, Every year)",bulletin
CSCI 6441,Database Management Systems,3 Credits,"Design and architecture of relational database management systems; query languages, data models, index structures, database application design. Students cannot receive credit forCSCI 2441Wor 2541W taken while an undergraduate andCSCI 6441taken while a graduate student. Students in the combined BS/MS program cannot receive credit forCSCI 2441WorCSCI 2541WandCSCI 6441. Prerequisites:CSCI 6221andCSCI 6461. (Spring, Every year)",bulletin
CSCI 6442,Database Systems II,3 Credits,"Concepts in database systems. Relational database design. Editing, report generation, updating, schema refinement, tuning. Construction of database management systems. Conceptual and logical design of a database. Prerequisite:CSCI 6441.",bulletin
CSCI 6443,Data Mining,3 Credits,"Fundamental concepts of data mining. Algorithm techniques for data mining, including classification, clustering, association rules mining. Prerequisites:CSCI 6441or permission of the instructor. (Fall and spring, Every year)",bulletin
CSCI 6444,Introduction to Big Data and Analytics,3 Credits,"Big data, its properties, technology and the classes and types of analytics that can be applied to it; programming systems and associated storage.Students gain practical experience through focused projects to apply different analytics to a data set. Prerequisites:CSCI 2113,CSCI 6221, orEMSE 6574. Recommended background: Experience using programming tools STATA, SPSS, R, or SAS is advantageous but not required. (Spring, summer, and fall, Every year)",bulletin
CSCI 6451,Information Retrieval Systems,3 Credits,"Information organization and retrieval of natural language data by digital computer systems; statistical, syntactic, and logical analysis of natural language; dictionary and thesaurus systems; searching strategies and cataloging. Large-scale file structures. Prerequisites:CSCI 6221andCSCI 6461. (Fall and spring, Every year)",bulletin
CSCI 6461,Computer System Architecture,3 Credits,"Concepts in processor, system, and network architectures; architecture of pipeline, superscalar, and VLIW/EPIC processors; multiprocessors and interconnection networks; cache coherence and memory subsystem design for multiprocessor architectures; parallel and distributed system architecture; internetworking. Restricted to graduate students. (Fall, spring, and summer, Every year)",bulletin
CSCI 6511,Artificial Intelligence,3 Credits,"Representation and space search; heuristic search; predicate calculus; knowledge representation and knowledge engineering for expert systems; rule-based, hybrid, and O-O systems; semantic nets, frames, and natural language; theorem provers; planning, learning, neural nets; use of AI languages. Prerequisite:CSCI 6212. (Spring, Every year)",bulletin
CSCI 6515,Natural Language Understanding,3 Credits,"The state of the art of natural language parsing and semantic understanding by computer systems. Review of formal, context-free, and transformational grammars and parsing. Augmented transition networks: problems of complexity, semantics, and context. Deterministic parsing and semantic parsing. Prerequisite:CSCI 6511.",bulletin
CSCI 6521,Introduction to Mobile Robotics,3 Credits,"Concepts of autonomous mobile robotics with emphasis on algorithmic aspects. Sensing, sensor fusion, localization, calibration, mapping, perception, decision making, planning, behavior-based control, world modeling, and navigation. Development of algorithms that can operate autonomous mobile platforms in complex, real-world environments. Prerequisites:MATH 1232andMATH 2184; andCSCI 6362orCSCI 4341. (Fall and spring, Every year)",bulletin
CSCI 6525,Autonomous Robotics: Manipulation,3 Credits,"Manipulation and autonomous operation in dynamic, human-centric environments. Reinforcement learning, perception, optimization algorithms, kinematics, dynamics, control theory. Prerequisites:CSCI 6362andMATH 2184; or permission of the instructor. (Fall and spring, Every year)",bulletin
CSCI 6527,Introduction to Computer Vision,3 Credits,"Image signal processing and filtering. Saliency, features and feature extraction, tracking, stereo disparity estimation, structure form motion, photogrammetry, optic flow, homography estimation and warping, scene segmentation, place recognition, object recognition, robust estimation, and camera calibration. Current research topics. Prerequisites:MATH 1232andMATH 2184; andCSCI 6362orCSCI 6341. (Fall and spring, Every year)",bulletin
CSCI 6531,Computer Security,3 Credits,"Functional description of cryptographic primitives; risk analysis; design principles; policy models; assurance; malicious logic. Restricted to graduate students. (Spring, Every year)",bulletin
CSCI 6532,Information Policy,3 Credits,"Roles, issues, and impacts of computer-based information systems in national and international arenas, focusing on privacy, equity, freedom of speech, intellectual property, and access to personal and governmental information. Professional responsibilities, ethics, and common and best practices in information use. Students cannot receive credit for both CSCI 4532 taken while an undergraduate andCSCI 6532taken while a graduate student. Students in the combined BS/MS program cannot receive credit for both CSCI 4532 andCSCI 6532. (Fall, Every year)",bulletin
CSCI 6533,Introduction to Usable Security and Privacy,3 Credits,"Introduction to concepts and research methods in human factors in computer security and privacy; reading, writing, reviewing scientific literature; developing research problems for exploration and presentation. Restricted to students in the computer science program. Corequisites:CSCI 6221, orCSCI 6461, orCSCI 6212. Credit cannot be earned for this course andCSCI 4533. (Spring, Every year)",bulletin
CSCI 6534,Information Security in Government,1-3 Credits,"Roles, issues, and governance of cyber security in the federal government. Overview of the technical aspects of cyber security including federally developed cybersecurity standards and frameworks and government and industry initiatives. Prerequisites: Permission of the instructor. (Spring and fall, Every year)",bulletin
CSCI 6541,Network Security,3 Credits,"Security protocols and applications in networks; packet level communication security systems; network authentication; intrusion detection systems and firewalls; network attacks. Corequisites:CSCI 6431. (Spring, Every year)",bulletin
CSCI 6542,Computer Network Defense,3 Credits,Offensive and defensive information warfare operations. Simulation of various attacks on and defenses of computer systems. Laws related to information warfare. History and literature related to information warfare attacks. Prerequisite:CSCI 6541.,bulletin
CSCI 6545,Software Security,3 Credits,"Security for software systems. Theory and practice of designing and implementing secure software. Security in the context of software engineering. Practical experience with building a software system and securing it, with emphasis on correctness and robustness. Requires substantial prior programming experience. Prerequisites:CSCI 6461orCSCI 6411; andCSCI 6531orEMSE 6540; or permission of the instructor. (Fall and spring, Every year)",bulletin
CSCI 6547,Wireless and Mobile Security,3 Credits,"Mobile agents, wireless Web, WAP, WEP, peer-to-peer computing; secure routing; intrusion detection and authentication on wireless networks; security for handheld devices; encryption and cryptographic measures for wireless; real-time wireless security; security measures for embedded devices. Prerequisites:CSCI 6431andCSCI 6531. (Spring, Every year)",bulletin
CSCI 6548,E-Commerce Security,3 Credits,"Advanced technical topics in e-commerce security. Key security threats. Authentication and authorization models, directory services, cloud based IAM, federated identity. Public key cryptography and PKI. Mobile payment methods, digital currencies, blockchain. Technologies and applications for securing web commerce. Web service security standards. Prerequisites: CS 4531 or CS 6531. (Fall and spring, Every year)",bulletin
CSCI 6554,Computer Graphics II,3 Credits,"Algorithmic aspects of computer graphics; 3D viewing transformation; shape modeling; shading and illumination models; visible-surface determination; curves and surfaces; sampling and aliasing; global illumination, ray tracing and radiosity; shadows; image manipulation and texture mapping; procedural models. (Spring, Every year)",bulletin
CSCI 6555,Computer Animation,3 Credits,"Euler angles and quaternions; articulated figure motion; forward and inverse kinematics; kinematic, physics based, and behavioral motion control; character animation; motion capture; temporal aliasing; sound synthesis and synchronization. (Fall, Every year)",bulletin
CSCI 6561,Design of Human–Computer Interface,3 Credits,"Design of dialogues for interactive systems. Psychological, physiological, linguistic, and perceptual factors. Advantages and disadvantages of various interaction techniques, command language syntaxes, and data presentations. Design methodology and guidelines. Case studies, research readings, and projects. Prerequisite:CSCI 6221.",bulletin
CSCI 6562,Design of Interactive Multimedia,3 Credits,"History, theory, and development of multimedia concepts. Hardware components, platforms, and authoring tools. Scientific, technical, and cognitive foundations of various media including text, sound, graphics, and video. Interface design. Use of a media taxonomy as a design and evaluation tool. Completion of a multimedia portfolio required. Prerequisite:CSCI 6221.",bulletin
CSCI 6572,Computational Biology Algorithms,3 Credits,"Algorithms and models for DNA and protein sequence alignments, gene finding, identification of gene regulatory regions, sequence evolution and phylogenetics, RNA and protein structure, microarray and/or proteomics data analysis. Prerequisites:CSCI 6212; and programming experience in C/C++ or Java. (Spring, Every year)",bulletin
CSCI 6900,Colloquium,0 Credits,Lectures by outstanding authorities in computer science. PhD students in computer science must take the course for a number of different lecture topics determined by the department. Consult the Schedule of Classes for additional information.,bulletin
CSCI 6907,Special Topics,3 Credits,"Topics vary by semester. May be repeated for credit if the topic differs. See department for details. (Fall and spring, Every year)",bulletin
CSCI 6908,Research,1-12 Credits,"Applied research and experimentation projects, as arranged. May be repeated for credit.",bulletin
CSCI 6917,Guided Research for Graduate Students I,3 Credits,"Practice research methods, including validation of hypothesis, synthesis and problem solving, and validation methods. Synthesize scientific output including experimental results and theoretical analysis. Present outcomes. Prerequisites:CSCI 6212andCSCI 6221.",bulletin
CSCI 6918,Guided Research for Graduate Students II,3 Credits,"Adds depth toCSCI 6917. Practice research methods, including validation of hypothesis, synthesis and problem solving, and validation methods. Synthesize scientific output including experimental results and theoretical analysis. Present outcomes. Prerequisites:CSCI 6212andCSCI 6221. Corequisites:CSCI 6917.",bulletin
CSCI 6998,Thesis Research,3 Credits,,bulletin
CSCI 6999,Thesis Research,3 Credits,,bulletin
CSCI 8211,Advanced Topics in Algorithms,3 Credits,"Graph algorithms, strongly connected components, biconnected components, dominators in acyclic graphs, ordered trees, network flow, planarity testing, bipartite matching, theory of NP completeness, NP-complete problems. Design and analysis of approximation algorithms for NP-complete problems. Prerequisite:CSCI 6212.",bulletin
CSCI 8231,Advanced Topics in Software Engineering,3 Credits,"Seminar on current research and developments in software engineering. Students develop a software package with the aid of available software tools such as requirement tool, design tool, code generators, testing tools, measurement tools, cost estimation tools. Prerequisites:CSCI 6232andCSCI 6233. (Fall and spring, Every year)",bulletin
CSCI 8331,Advanced Cryptography,3 Credits,"Introduction to secure multi-party computation (MPC) and related topics. Basic definitions and core MPC protocols and reading and presenting the latest research on the topic. Includes practical experience with MPC implementation. Prerequisites: One of the following:CSCI 2312,CSCI 3212,CSCI 3313,CSCI 6212,MATH 2971, orMATH 2971W. Recommended background: Some experience with algorithms and cryptography. (Spring, Every year)",bulletin
CSCI 8401,Advanced Topics in Systems,3 Credits,"Seminar on current research and developments in computer operating systems. May be repeated for credit. (Spring, Even years)",bulletin
CSCI 8431,Advanced Topics in Computer Networks and Networked Computing,3 Credits,"Seminar on current research and developments in computer networks, Internet, networked computing, mobile computing and pervasive computing. May be repeated for credit. Prerequisites:CSCI 6461,CSCI 6212andCSCI 6433. (Fall and spring, Every year)",bulletin
CSCI 8440,Advanced Topics in Data Management,3 Credits,Seminar on current research and developments in computer database systems and information retrieval. May be repeated for credit. Prerequisite:CSCI 6442orCSCI 6451.,bulletin
CSCI 8531,Advanced Topics in Security,3 Credits,Seminar on current research and developments in information assurance. May be repeated for credit. Prerequisite:CSCI 6531.,bulletin
CSCI 8554,Advanced Topics in Computer Graphics,3 Credits,"Seminar on current research and developments in computer graphics. Spatial and temporal anti-aliasing: hidden-surface algorithms: illumination models, radiosity, textural mapping. May be repeated for credit. Prerequisite:CSCI 6554.",bulletin
CSCI 8900,Advanced Selected Topics,3 Credits,Topics announced in the Schedule of Classes.,bulletin
CSCI 8901,Research and Evaluation Methods,3 Credits,"Required for all computer science doctoral candidates. The scientific method; research/design requirements and objectives: qualitative, quantitative, and case studies; performance metrics; design procedures and control; sources of error and bias; evaluation tools; formal validation methods; documentation standards. Prerequisite:APSC 3115.",bulletin
CSCI 8998,Computer Science Research,1-12 Credits,"May be repeated for credit. Restricted to doctoral candidates preparing for the qualifying examination. (Fall and spring, Every year)",bulletin
CSCI 8999,Dissertation Research,1-12 Credits,"Doctoral candidates performing dissertation research. Restricted to doctoral candidates. (Fall and spring, Every year)",bulletin
