"CRN","building_room","comments","course_code","credits","dates","day_time","instructor","section","status","title"
"44281","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Yerukhimovich, A","14","OPEN","Research"
"47360","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00","01/12/26 - 04/27/26","","Feng, S","15","OPEN","Research"
"44282","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Hahn, J","16","OPEN","Research"
"44283","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Youssef, A","17","OPEN","Research"
"44284","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Narahari, B","18","OPEN","Research"
"44285","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Parmer, G","19","OPEN","Research"
"44286","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Vora, P","20","OPEN","Research"
"44287","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Wood, T","21","OPEN","Research"
"47361","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00","01/12/26 - 04/27/26","","Woodworth, B","22","OPEN","Research"
"45731","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Hwa, R","23","OPEN","Research"
"45792","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Dobolyi, K","24","OPEN","Research"
"45793","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00","01/12/26 - 04/27/26","","Taylor, J","25","OPEN","Research"
"47362","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Qu, X","26","OPEN","Research"
"47396","","Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Goldfrank, J","27","CLOSED","Research"
"47428","","Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Mohan, S","28","OPEN","Research"
"46125","TOMP 402","Comments: Registration restricted to Undergraduate Computer Science majors only.","CSCI 4237","3.00","01/12/26 - 04/27/26","T 06:10PM - 08:40PM","Cobb, M","10","WAITLIST","Software Design for Handheld Devices"
"43876","MON B32","Comments: Also register for one laboratory section: CSCI 4244.30 or.31. Registration is restricted to Senior Computer Science majors only.","CSCI 4244","4.00","01/12/26 - 04/27/26","T 03:45PM - 05:00PM","Qu, X; Kim, T","10","OPEN","Capstone Design Project II"
"45584","TOMP 201","Comments: Also register for one laboratory section: CSCI 4244.30 or.31. Registration is restricted to Senior Computer Science majors only.","CSCI 4244","4.00","01/12/26 - 04/27/26","T 03:45PM - 05:00PM","Shapiro, J; Qu, X","11","OPEN","Capstone Design Project II"
"47498","1957 E B17","Comments: Please fill out the CS registration form: https://cs.engineering.gwu.edu/course-registration-information","CSCI 4364","3.00","01/12/26 - 04/27/26","F 09:30AM - 12:00PM","Qu, X","10","OPEN","Machine Learning"
"45732","COR 104","Comments: Registration restricted to Computer Science majors only.","CSCI 4364","3.00","01/12/26 - 04/27/26","R 12:45PM - 03:15PM","Feng, S","81","OPEN","Machine Learning"